pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
Signaling by NOTCH,NOTCH,0.0010244,0.0065570626,2.1832906716,1.9577524292,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
NOTCH4 Intracellular Domain Regulates Transcription,NOTCH,0.0010315323,0.0065737562,2.1821864094,3.8424543947,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,
Hemostasis,,0.0010369586,0.0065794795,2.1818084629,1.8267108168,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
Signaling by moderate kinase activity BRAF mutants,,0.0010596893,0.0065800366,2.1817716939,2.9553571429,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Signaling downstream of RAS mutants,,0.0010596893,0.0065800366,2.1817716939,2.9553571429,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Signaling by RAS mutants,,0.0010596893,0.0065800366,2.1817716939,2.9553571429,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
G2/M Checkpoints,,0.0010596893,0.0065800366,2.1817716939,2.9553571429,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Paradoxical activation of RAF signaling by kinase inactive BRAF,,0.0010596893,0.0065800366,2.1817716939,2.9553571429,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Estrogen-dependent gene expression,,0.0010779533,0.006664962,2.1762023212,2.2517006803,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Fc epsilon receptor (FCERI) signaling,,0.0010890055,0.0067047672,2.1736162979,2.43708166,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
PI-3K cascade:FGFR4,FGFR,0.0011349242,0.00692876,2.159344483,4.5034013605,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,
Netrin-1 signaling,,0.0011318372,0.00692876,2.159344483,3.7859477124,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,
Signaling by Insulin receptor,,0.0011508692,0.0069414934,2.1585470872,2.6458832934,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Insulin receptor signalling cascade,,0.0011508692,0.0069414934,2.1585470872,2.6458832934,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Mitotic G2-G2/M phases,,0.001151342,0.0069414934,2.1585470872,2.4224883566,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Developmental Biology,,0.001164637,0.0069926348,2.1553591558,1.5748670585,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
TP53 Regulates Transcription of DNA Repair Genes,,0.001188904,0.0070509286,2.1517536851,3.2691358025,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,
HCMV Early Events,,0.001188904,0.0070509286,2.1517536851,3.2691358025,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,
Interferon gamma signaling,,0.001188904,0.0070509286,2.1517536851,3.2691358025,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,
Cell death signalling via NRAGE,Cell death,0.0012398118,0.0072933057,2.1370755799,3.731078905,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,
RHOQ GTPase cycle,,0.0012398118,0.0072933057,2.1370755799,3.731078905,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Metabolism of proteins,,0.0012623551,0.0073959755,2.1310045347,1.566972988,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
G2/M DNA damage checkpoint,,0.0012839092,0.0074318461,2.128903291,3.2332112332,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Signaling by ALK fusions and activated point mutants,,0.0012991665,0.0074318461,2.128903291,2.8782608696,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,
Toll Like Receptor 10 (TLR10) Cascade,,0.001298567,0.0074318461,2.128903291,2.6083530339,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Toll Like Receptor 5 (TLR5) Cascade,,0.001298567,0.0074318461,2.128903291,2.6083530339,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
MyD88 cascade initiated on plasma membrane,,0.001298567,0.0074318461,2.128903291,2.6083530339,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Signaling by ALK in cancer,,0.0012991665,0.0074318461,2.128903291,2.8782608696,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,
RUNX2 regulates bone development,,0.0013883527,0.0079108879,2.1017747706,2.8534482759,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Negative feedback regulation of MAPK pathway,,0.0014028067,0.007962024,2.098976518,5.408496732,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,
FGFRL1 modulation of FGFR1 signaling,FGFR,0.0014189697,0.008022424,2.0956943869,7.3555555556,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,,,
Senescence-Associated Secretory Phenotype (SASP),,0.00151096,0.0085093987,2.0701011282,2.3520671835,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
PI-3K cascade:FGFR2,FGFR,0.0015724762,0.0088216521,2.0544500716,4.2435897436,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,
TNFR1-induced proapoptotic signaling,,0.0016089969,0.0088496819,2.0530723395,5.253968254,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-130b-3p, hsa-miR-376a-3p,,,,,,,,,,,,,
Transcriptional regulation of granulopoiesis,,0.0015933569,0.0088496819,2.0530723395,2.3384714194,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
Downstream signaling of activated FGFR1,FGFR,0.0016067922,0.0088496819,2.0530723395,3.1300236407,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,
Cytoprotection by HMOX1,,0.0016067922,0.0088496819,2.0530723395,3.1300236407,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,
Cyclin A/B1/B2 associated events during G2/M transition,,0.0016140163,0.0088496819,2.0530723395,3.575617284,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
HCMV Infection,,0.0016067922,0.0088496819,2.0530723395,3.1300236407,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,,
SCF(Skp2)-mediated degradation of p27/p21,,0.0016423334,0.008971092,2.0471546904,2.5363984674,hsa-miR-424-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Signaling by FGFR1,FGFR,0.001686951,0.0091802989,2.0371431783,2.781512605,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
TNF signaling,,0.0017569951,0.0093857126,2.0275327488,3.5266362253,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,
Axon guidance,,0.0017440057,0.0093857126,2.0275327488,1.8723232323,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
Regulation of APC/C activators between G1/S and early anaphase,,0.0017441371,0.0093857126,2.0275327488,4.1635220126,hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Activation of PUMA and translocation to mitochondria,,0.0017569951,0.0093857126,2.0275327488,3.5266362253,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,
PI-3K cascade:FGFR3,FGFR,0.0017441371,0.0093857126,2.0275327488,4.1635220126,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,,0.0018032981,0.0095977732,2.0178295157,11.0333333333,hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
p53-Dependent G1/S DNA damage checkpoint,,0.0018410775,0.0096691543,2.0146115072,2.5018896447,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
PPARA activates gene expression,,0.0018566373,0.0096691543,2.0146115072,3.0648148148,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
NOTCH4 Activation and Transmission of Signal to the Nucleus,NOTCH,0.0018369656,0.0096691543,2.0146115072,5.1080246914,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p,,,,,,,,,,,,,
p53-Dependent G1 DNA Damage Response,,0.0018410775,0.0096691543,2.0146115072,2.5018896447,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Regulation of lipid metabolism by PPARalpha,,0.0018566373,0.0096691543,2.0146115072,3.0648148148,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,,
Downregulation of SMAD2/3:SMAD4 transcriptional activity,,0.0018566373,0.0096691543,2.0146115072,3.0648148148,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Platelet degranulation ,,0.0019477865,0.0100094072,1.999591644,2.484984985,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,
Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,,0.0019299445,0.0100094072,1.999591644,4.0864197531,hsa-miR-424-5p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Metabolism,,0.0019495267,0.0100094072,1.999591644,1.7402733964,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
Degradation of the extracellular matrix,,0.0019477865,0.0100094072,1.999591644,2.484984985,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,,0.0019624054,0.0100400531,1.9982639885,2.2856246077,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
RUNX3 regulates CDKN1A transcription,,0.0020368667,0.0102762755,1.9881642608,2.7131147541,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,,
Transcriptional regulation of pluripotent stem cells,,0.0020368667,0.0102762755,1.9881642608,2.7131147541,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,
IRS-mediated signalling,,0.0020368667,0.0102762755,1.9881642608,2.7131147541,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,
Interferon Signaling,,0.0020368667,0.0102762755,1.9881642608,2.7131147541,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,
Recycling of eIF2:GDP,,0.0020639872,0.0103686841,1.9842763566,24.5185185185,hsa-miR-30c-5p, hsa-miR-30b-5p,,,,,,,,,,,,,,,,
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,,0.0020694552,0.0103686841,1.9842763566,6.6868686869,hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p,,,,,,,,,,,,,,
Arachidonic acid metabolism,,0.0020881044,0.0104261709,1.9818751611,4.96996997,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
Interleukin-20 family signaling,Interleukin,0.0021306704,0.0105660892,1.9760857281,4.0121212121,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,
Amyloid fiber formation,,0.0021306704,0.0105660892,1.9760857281,4.0121212121,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p,,,,,,,,,,,,
G1/S DNA Damage Checkpoints,,0.0021768202,0.0106855397,1.9712035385,2.4518518519,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,,0.0021726741,0.0106855397,1.9712035385,2.2600869025,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Response to elevated platelet cytosolic Ca2+,,0.0021768202,0.0106855397,1.9712035385,2.4518518519,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,
Nervous system development,,0.0022490171,0.0108927397,1.9628628741,1.8323448003,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
Elastic fibre formation,,0.0022472391,0.0108927397,1.9628628741,3.3874269006,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
SUMOylation of intracellular receptors,,0.0022472391,0.0108927397,1.9628628741,3.3874269006,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p,,,,,,,,,,,
HIV Infection,,0.0022472391,0.0108927397,1.9628628741,3.3874269006,hsa-miR-296-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-195-5p,,,,,,,,,,,
Oxidative Stress Induced Senescence,,0.0022847885,0.0109927074,1.9588953333,2.2475308642,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Signaling by NTRK1 (TRKA),,0.0022847885,0.0109927074,1.9588953333,2.2475308642,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,
Resolution of Sister Chromatid Cohesion,,0.0023471039,0.0112182301,1.9500756582,3.9404761905,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,,
Host Interactions of HIV factors,,0.0023471039,0.0112182301,1.9500756582,3.9404761905,hsa-miR-296-5p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,
PTEN Loss of Function in Cancer,,0.0024327356,0.0115727104,1.936564913,3.3434343434,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
p75NTR negatively regulates cell cycle via SC1,,0.0024371985,0.0115727104,1.936564913,10.0303030303,hsa-miR-296-5p, hsa-miR-92a-3p, hsa-miR-16-5p,,,,,,,,,,,,,,,
YAP1- and WWTR1 (TAZ)-stimulated gene expression,,0.0025800503,0.0121714711,1.9146569278,3.8713450292,hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-195-5p,,,,,,,,,,,,
Signaling by NOTCH2,NOTCH,0.0025800503,0.0121714711,1.9146569278,3.8713450292,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p,,,,,,,,,,,,
Regulation of mitotic cell cycle,,0.0026301251,0.0123276511,1.9091196667,3.3005698006,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
APC/C-mediated degradation of cell cycle proteins,,0.0026301251,0.0123276511,1.9091196667,3.3005698006,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
Basigin interactions,,0.0026655685,0.0124136891,1.9060991349,4.7150997151,hsa-miR-29b-3p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p,,,,,,,,,,,,,
Cellular response to starvation,,0.0026655685,0.0124136891,1.9060991349,4.7150997151,hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,,,
